Index,Date: 2022-08-03 10:05:42
0,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.705 ms
1,RSSI: -60
2,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.998 ms
3,RSSI: -60
4,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.039 ms
5,RSSI: -60
6,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.075 ms
7,RSSI: -60
8,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.046 ms
9,RSSI: -60
10,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.145 ms
11,RSSI: -60
12,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.272 ms
13,RSSI: -60
14,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.962 ms
15,RSSI: -60
16,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.248 ms
17,RSSI: -59
18,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.326 ms
19,RSSI: -58
20,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.302 ms
21,RSSI: -58
22,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.182 ms
23,RSSI: -59
24,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.522 ms
25,RSSI: -61
26,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.135 ms
27,RSSI: -61
28,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.644 ms
29,RSSI: -60
30,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.076 ms
31,RSSI: -60
32,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.930 ms
33,RSSI: -61
34,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.182 ms
35,RSSI: -61
36,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.641 ms
37,RSSI: -60
38,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.188 ms
39,RSSI: -61
40,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.517 ms
41,RSSI: -60
42,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.777 ms
43,RSSI: -60
44,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.634 ms
45,RSSI: -60
46,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.640 ms
47,RSSI: -60
48,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.145 ms
49,RSSI: -61
50,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.071 ms
51,RSSI: -60
52,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.189 ms
53,RSSI: -60
54,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.012 ms
55,RSSI: -59
56,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.990 ms
57,RSSI: -58
58,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.023 ms
59,RSSI: -58
60,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.535 ms
61,RSSI: -58
62,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.135 ms
63,RSSI: -58
64,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.665 ms
65,RSSI: -57
66,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.024 ms
67,RSSI: -58
68,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.033 ms
69,RSSI: -57
70,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.433 ms
71,RSSI: -57
72,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.083 ms
73,RSSI: -57
74,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.309 ms
75,RSSI: -57
76,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.771 ms
77,RSSI: -57
78,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.001 ms
79,RSSI: -58
80,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.994 ms
81,RSSI: -60
82,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.803 ms
83,RSSI: -62
84,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.469 ms
85,RSSI: -62
86,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.401 ms
87,RSSI: -64
88,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.068 ms
89,RSSI: -65
90,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=6.516 ms
91,RSSI: -66
92,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.544 ms
93,RSSI: -67
94,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.585 ms
95,RSSI: -66
96,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.006 ms
97,RSSI: -66
98,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.268 ms
99,RSSI: -66
100,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.018 ms
101,RSSI: -66
102,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.111 ms
103,RSSI: -66
104,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.581 ms
105,RSSI: -65
106,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.793 ms
107,RSSI: -65
108,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.047 ms
109,RSSI: -66
110,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.959 ms
111,RSSI: -66
112,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.884 ms
113,RSSI: -66
114,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=7.761 ms
115,RSSI: -66
116,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.041 ms
117,RSSI: -66
118,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=5.202 ms
119,RSSI: -66
120,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.537 ms
121,RSSI: -66
122,64 bytes from 8.8.8.8: icmp_seq=0 ttl=117 time=4.788 ms
