Index,Date: 2022.08.14-17:17:26
0,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=18.939 ms
1,RSSI: -36
2,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.228 ms
3,RSSI: -35
4,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.199 ms
5,RSSI: -34
6,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.804 ms
7,RSSI: -33
8,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.769 ms
9,RSSI: -33
10,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.749 ms
11,RSSI: -33
12,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.371 ms
13,RSSI: -33
14,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.729 ms
15,RSSI: -34
16,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.239 ms
17,RSSI: -34
18,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.783 ms
19,RSSI: -34
20,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.336 ms
21,RSSI: -34
22,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.557 ms
23,RSSI: -34
24,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.472 ms
25,RSSI: -35
26,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.836 ms
27,RSSI: -34
28,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.318 ms
29,RSSI: -34
30,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.003 ms
31,RSSI: -34
32,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=19.582 ms
33,RSSI: -35
34,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=14.940 ms
35,RSSI: -34
36,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.829 ms
37,RSSI: -35
38,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=19.191 ms
39,RSSI: -35
40,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.557 ms
41,RSSI: -35
42,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.000 ms
43,RSSI: -35
44,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=17.531 ms
45,RSSI: -34
46,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.720 ms
47,RSSI: -35
48,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.215 ms
49,RSSI: -37
50,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=15.921 ms
51,RSSI: -40
52,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.389 ms
53,RSSI: -42
54,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.432 ms
55,RSSI: -43
56,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.044 ms
57,RSSI: -43
58,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=17.071 ms
59,RSSI: -42
60,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.963 ms
61,RSSI: -44
62,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.331 ms
63,RSSI: -44
64,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.656 ms
65,RSSI: -46
66,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.288 ms
67,RSSI: -48
68,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.291 ms
69,RSSI: -50
70,64 bytes from 172.23.98.120: icmp_seq=0 ttl=253 time=16.798 ms
71,RSSI: -50
